latitude,longitude,acq_date,acq_time,satellite,instrument,confidence,frp,daynight,type,datetime_kst,distance_to_station_km,nearest_station_id,temperature,precipitation,wind_speed,wind_direction,humidity,grid_id,imsangdo_frtp_cd,imsangdo_dmcls_cd,imsangdo_agcls_cd,imsangdo_dnst_cd,soil_loctn_altt,soil_loctn_grdn,soil_tpgrp_tpcd,soil_sltp_cd,event_id
35.5601,128.6767,2005-01-06,446.0,Aqua,MODIS,56,10.5,D,0.0,2005-01-06 13:46:00,10.941751454863311,284.0,8.1,0.0,2.1,340.0,21.0,205525.0,3.0,2.0,4.0,C,225.1,22.4,12.0,29.0,noise
35.6499,128.0911,2005-01-06,446.0,Aqua,MODIS,61,11.1,D,0.0,2005-01-06 13:46:00,12.271890629278015,212.0,1.8,0.0,2.6,290.0,37.0,212675.0,2.0,1.0,4.0,C,338.5,22.3,12.0,1.0,noise
35.788,127.5328,2005-01-06,446.0,Aqua,MODIS,57,9.9,D,0.0,2005-01-06 13:46:00,15.53870378308277,248.0,3.4,0.0,5.5,340.0,39.0,223834.0,3.0,1.0,2.0,C,369.2,28.7,12.0,2.0,noise
36.1887,126.9246,2005-01-06,446.0,Aqua,MODIS,57,8.8,D,0.0,2005-01-06 13:46:00,9.686255157536712,236.0,6.1,0.0,1.0,160.0,38.0,255011.0,2.0,1.0,2.0,B,73.9,21.7,12.0,1.0,noise
36.2386,127.0206,2005-01-06,446.0,Aqua,MODIS,42,7.1,D,0.0,2005-01-06 13:46:00,13.35186185896518,236.0,6.1,0.0,1.0,160.0,38.0,259826.0,1.0,2.0,5.0,B,34.1,20.3,12.0,1.0,noise
35.6483,128.4443,2005-01-08,434.0,Aqua,MODIS,83,25.2,D,0.0,2005-01-08 13:34:00,30.88137481410212,212.0,-0.4,0.0,1.3,320.0,25.0,211909.0,2.0,2.0,4.0,C,68.9,17.5,7.0,2.0,noise
35.6498,128.4552,2005-01-08,434.0,Aqua,MODIS,73,14.6,D,0.0,2005-01-08 13:34:00,31.16908461408508,276.0,-2.6688568376068496,0.0024038461538461,2.86976495726496,237.63888888888889,52.07532051282051,213514.0,1.0,2.0,4.0,C,198.2,19.8,7.0,13.0,noise
35.9436,126.8601,2005-01-08,434.0,Aqua,MODIS,37,7.1,D,0.0,2005-01-08 13:34:00,17.081545190916156,140.0,2.0,0.0,3.0,250.0,45.0,236581.0,1.0,2.0,5.0,C,81.0,9.1,7.0,1.0,noise
36.1271,127.2469,2005-01-10,422.0,Aqua,MODIS,41,11.8,D,0.0,2005-01-10 13:22:00,27.49475520866589,238.0,0.0,0.0,1.6,320.0,47.0,251038.0,2.0,1.0,4.0,C,126.7,30.2,12.0,2.0,noise
35.0484,128.2409,2005-01-12,234.0,Terra,MODIS,51,13.4,D,0.0,2005-01-12 11:34:00,31.03107590416389,285.0,1.6,0.0,1.7,20.0,40.0,163829.0,1.0,2.0,4.0,C,184.6,29.7,12.0,2.0,noise
36.3291,127.7725,2005-01-15,440.0,Aqua,MODIS,62,10.3,D,0.0,2005-01-15 13:40:00,18.723670866646327,226.0,2.2,0.0,4.2,340.0,37.0,267912.0,1.0,0.0,1.0,A,166.4,33.5,12.0,2.0,noise
36.5925,127.6743,2005-01-15,440.0,Aqua,MODIS,50,8.6,D,0.0,2005-01-15 13:40:00,12.617546551945129,226.0,2.2,0.0,4.2,340.0,37.0,287927.0,2.0,2.0,4.0,C,283.9,32.5,12.0,2.0,noise
35.4099,128.1001,2005-01-17,428.0,Aqua,MODIS,57,10.2,D,0.0,2005-01-17 13:28:00,19.83732887520213,211.0,-2.0,0.0,0.1,0.0,66.0,192651.0,1.0,1.0,4.0,C,137.2,38.1,7.0,16.0,noise
35.67,128.4415,2005-01-21,228.0,Terra,MODIS,48,9.5,D,2.0,2005-01-21 11:28:00,30.2823465143942,143.0,-1.6,0.0,2.1,270.0,31.0,213510.0,3.0,2.0,5.0,C,107.5,12.5,7.0,1.0,noise
35.675,128.4487,2005-01-21,228.0,Terra,MODIS,45,8.3,D,2.0,2005-01-21 11:28:00,29.365370410839702,143.0,-1.6,0.0,2.1,270.0,31.0,215116.0,1.0,2.0,5.0,C,239.7,23.6,12.0,1.0,noise
35.9738,129.371,2005-01-28,1336.0,Terra,MODIS,50,11.7,N,2.0,2005-01-28 22:36:00,6.6512854235105765,138.0,4.1,0.0,1.9,230.0,47.0,238436.0,1.0,2.0,4.0,C,42.7,18.6,7.0,15.0,noise
35.1857,128.976,2005-02-04,415.0,Aqua,MODIS,0,8.1,D,2.0,2005-02-04 13:15:00,10.939034231342749,159.0,7.5,0.0,2.4,340.0,20.0,175920.0,1.0,2.0,5.0,C,248.9,22.5,12.0,1.0,noise
36.205,127.1167,2005-02-05,458.0,Aqua,MODIS,63,13.8,D,0.0,2005-02-05 13:58:00,24.647571095238625,236.0,5.4,0.0,3.6,320.0,24.0,255831.0,1.0,2.0,5.0,C,68.5,16.1,12.0,2.0,noise
36.2583,127.3196,2005-02-05,459.0,Aqua,MODIS,47,12.6,D,0.0,2005-02-05 13:59:00,13.9121171054913,133.0,4.7,0.0,4.2,360.0,18.0,261459.0,3.0,1.0,4.0,C,119.9,24.3,12.0,2.0,noise
37.0855,127.6178,2005-02-05,459.0,Aqua,MODIS,64,18.4,D,0.0,2005-02-05 13:59:00,24.952557680095246,203.0,4.0,0.0,2.8,320.0,29.0,327971.0,3.0,2.0,4.0,C,258.0,28.8,7.0,1.0,noise
35.8563,127.1641,2005-02-11,422.0,Aqua,MODIS,45,11.1,D,2.0,2005-02-11 13:22:00,7.082034696737676,146.0,-0.4,0.0,3.7,290.0,37.0,230205.0,1.0,0.0,1.0,A,55.2,20.2,7.0,2.0,noise
35.1412,127.6979,2005-02-23,446.0,Aqua,MODIS,55,13.8,D,0.0,2005-02-23 13:46:00,25.532131931418867,174.0,1.7696047008547011,0.0027243589743589,3.375480769230776,253.9155982905983,49.58600427350427,171786.0,2.0,1.0,3.0,B,185.3,27.1,12.0,2.0,noise
35.488,126.4741,2005-02-25,434.0,Aqua,MODIS,44,9.6,D,0.0,2005-02-25 13:34:00,13.98574967514106,289.0,2.9,0.0,5.0,90.0,15.0,199699.0,1.0,2.0,5.0,C,68.4,12.1,7.0,1.0,noise
37.0493,127.5918,2005-02-25,434.0,Aqua,MODIS,56,8.2,D,0.0,2005-02-25 13:34:00,27.130248990794176,203.0,0.0,0.0,4.7,320.0,32.0,324765.0,1.0,2.0,4.0,C,115.0,5.3,12.0,1.0,noise
36.5095,126.6438,2005-02-27,422.0,Aqua,MODIS,47,13.9,D,0.0,2005-02-27 13:22:00,9.389559022088749,177.0,-1.7773504273504264,0.0,2.3663461538461537,218.4294871794872,46.88568376068376,281417.0,1.0,2.0,4.0,C,26.5,9.3,12.0,2.0,noise
37.2275,127.6415,2005-02-27,422.0,Aqua,MODIS,71,19.5,D,0.0,2005-02-27 13:22:00,17.077594580633182,203.0,2.7,0.0,1.0,230.0,36.0,338387.0,3.0,2.0,4.0,C,150.2,14.6,12.0,2.0,noise
37.2299,127.655,2005-02-27,422.0,Aqua,MODIS,28,10.3,D,0.0,2005-02-27 13:22:00,18.44078598765513,203.0,2.7,0.0,1.0,230.0,36.0,339190.0,1.0,2.0,5.0,C,83.8,16.2,7.0,2.0,noise
37.0485,127.8038,2005-02-28,505.0,Aqua,MODIS,64,24.8,D,0.0,2005-02-28 14:05:00,16.755011472565542,127.0,5.4,0.0,5.1,270.0,26.0,324787.0,2.0,2.0,5.0,C,207.9,18.6,12.0,2.0,noise
37.4667,127.5415,2005-03-01,233.0,Terra,MODIS,46,8.9,D,0.0,2005-03-01 11:33:00,5.972730945095386,202.0,3.2,0.0,2.8,250.0,26.0,357601.0,1.0,2.0,5.0,C,71.4,14.7,12.0,6.0,noise
35.3341,128.676,2005-03-01,409.0,Aqua,MODIS,50,21.1,D,0.0,2005-03-01 13:09:00,9.303369497660702,255.0,0.6811431623931609,0.0030982905982905,2.3343482905982875,226.517094017094,47.4465811965812,187901.0,3.0,2.0,5.0,C,73.1,18.2,7.0,6.0,noise
